task_idx,type
1873_A,STDIO
1873_B,STDIO
1873_D,STDIO
1883_B,STDIO
1883_C,STDIO
1899_A,STDIO
1899_B,STDIO
1899_C,STDIO
1899_D,STDIO
2727,CALL
2728,CALL
2730,CALL
2754,CALL
2755,CALL
2756,CALL
2757,CALL
2777,CALL
2779,CALL
2784,CALL
2785,CALL
2786,CALL
2791,CALL
2792,CALL
2800,CALL
2802,CALL
2808,CALL
2810,CALL
2811,CALL
2812,CALL
2816,CALL
2817,CALL
2819,CALL
2824,CALL
2825,CALL
2827,CALL
2828,CALL
2831,CALL
2832,CALL
2833,CALL
2834,CALL
2837,CALL
2839,CALL
2844,CALL
2845,CALL
2847,CALL
2848,CALL
2849,CALL
2850,CALL
2854,CALL
2855,CALL
2856,CALL
2857,CALL
2866,CALL
2867,CALL
2868,CALL
2869,CALL
2870,CALL
2872,CALL
2873,CALL
2876,CALL
2877,CALL
2878,CALL
2879,CALL
2881,CALL
2882,CALL
2883,CALL
2884,CALL
2886,CALL
2887,CALL
2888,CALL
2891,CALL
2892,CALL
2893,CALL
2902,CALL
2915,CALL
2916,CALL
2917,CALL
2919,CALL
2920,CALL
2921,CALL
2952,CALL
2953,CALL
2954,CALL
2955,CALL
2977,CALL
2979,CALL
2998,CALL
2999,CALL
3000,CALL
3017,CALL
3018,CALL
3019,CALL
3024,CALL
3025,CALL
3026,CALL
3031,CALL
3032,CALL
3033,CALL
3034,CALL
3044,CALL
3045,CALL
3046,CALL
3047,CALL
3055,CALL
3080,CALL
3081,CALL
3091,CALL
3093,CALL
3094,CALL
3104,CALL
3106,CALL
3114,CALL
3141,CALL
3150,CALL
3151,CALL
3153,CALL
3154,CALL
3163,CALL
3164,CALL
3166,CALL
3171,CALL
3172,CALL
3174,CALL
3176,CALL
3183,CALL
3184,CALL
3188,CALL
3190,CALL
3192,CALL
3193,CALL
3194,CALL
3195,CALL
3196,CALL
3199,CALL
3200,CALL
3203,CALL
3206,CALL
3207,CALL
3209,CALL
3210,CALL
3211,CALL
3212,CALL
3213,CALL
3219,CALL
3220,CALL
3221,CALL
3223,CALL
3224,CALL
3225,CALL
3226,CALL
3227,CALL
3228,CALL
3229,CALL
3230,CALL
3231,CALL
3233,CALL
3234,CALL
3235,CALL
3236,CALL
3239,CALL
3240,CALL
3242,CALL
3243,CALL
3244,CALL
3245,CALL
3246,CALL
3249,CALL
3251,CALL
3252,CALL
3261,CALL
3262,CALL
3263,CALL
3264,CALL
3265,CALL
3267,CALL
3269,CALL
3279,CALL
3291,CALL
3292,CALL
3297,CALL
3298,CALL
3299,CALL
3306,CALL
3308,CALL
3309,CALL
3311,CALL
3312,CALL
3313,CALL
3316,CALL
3317,CALL
3320,CALL
3324,CALL
3327,CALL
3328,CALL
3329,CALL
3331,CALL
3334,CALL
3337,CALL
3344,CALL
3345,CALL
3346,CALL
3347,CALL
3349,CALL
3351,CALL
3353,CALL
3354,CALL
3355,CALL
3356,CALL
3360,CALL
3361,CALL
3362,CALL
3363,CALL
3364,CALL
3367,CALL
3371,CALL
3372,CALL
3373,CALL
3374,CALL
3375,CALL
3376,CALL
3379,CALL
3381,CALL
3382,CALL
3383,CALL
3384,CALL
3387,CALL
3388,CALL
3394,CALL
3395,CALL
3396,CALL
3397,CALL
3398,CALL
3402,CALL
3403,CALL
3406,CALL
3408,CALL
3411,CALL
3412,CALL
3413,CALL
3414,CALL
3416,CALL
3420,CALL
3421,CALL
3422,CALL
3423,CALL
3426,CALL
3428,CALL
3429,CALL
3430,CALL
3436,CALL
3437,CALL
3438,CALL
3439,CALL
3442,CALL
3446,CALL
3447,CALL
3450,CALL
3451,CALL
3453,CALL
3454,CALL
3455,CALL
3456,CALL
3460,CALL
3461,CALL
3462,CALL
3463,CALL
3464,CALL
3466,CALL
3468,CALL
3469,CALL
3471,CALL
3475,CALL
3476,CALL
3478,CALL
3479,CALL
3482,CALL
3484,CALL
3485,CALL
3487,CALL
3490,CALL
3492,CALL
3493,CALL
3494,CALL
3495,CALL
3496,CALL
3498,CALL
3502,CALL
3507,CALL
3508,CALL
3510,CALL
3511,CALL
3515,CALL
3517,CALL
3518,CALL
3519,CALL
3522,CALL
3525,CALL
3526,CALL
3527,CALL
3528,CALL
3531,CALL
3532,CALL
3533,CALL
3534,CALL
3535,CALL
3540,CALL
3541,CALL
3543,CALL
3548,CALL
3550,CALL
3551,CALL
3552,CALL
3553,CALL
3555,CALL
3558,CALL
3559,CALL
3560,CALL
3562,CALL
3563,CALL
3566,CALL
3567,CALL
3568,CALL
3570,CALL
3571,CALL
3573,CALL
3575,CALL
3579,CALL
3580,CALL
3583,CALL
3584,CALL
3587,CALL
3588,CALL
3591,CALL
3593,CALL
3594,CALL
3600,CALL
3603,CALL
3604,CALL
3605,CALL
3606,CALL
3607,CALL
3608,CALL
3610,CALL
3612,CALL
3613,CALL
3616,CALL
3617,CALL
3620,CALL
3621,CALL
3622,CALL
3625,CALL
3626,CALL
3627,CALL
3629,CALL
3631,CALL
3632,CALL
3634,CALL
3636,CALL
3637,CALL
3638,CALL
3639,CALL
3644,CALL
3646,CALL
3647,CALL
3648,CALL
3649,CALL
3651,CALL
3653,CALL
3654,CALL
3655,CALL
3656,CALL
3657,CALL
3658,CALL
3659,CALL
3674,CALL
3675,CALL
3676,CALL
3677,CALL
3680,CALL
3681,CALL
3682,CALL
3683,CALL
3684,CALL
3685,CALL
3686,CALL
3687,CALL
3688,CALL
3690,CALL
3692,CALL
3696,CALL
3697,CALL
3699,CALL
3700,CALL
3701,CALL
3702,CALL
3704,CALL
3705,CALL
3708,CALL
3709,CALL
3714,CALL
3715,CALL
3716,CALL
3717,CALL
3720,CALL
3721,CALL
3722,CALL
3723,CALL
3725,CALL
3731,CALL
3733,CALL
3736,CALL
3737,CALL
3739,CALL
3743,CALL
3744,CALL
3747,CALL
3748,CALL
3750,CALL
3751,CALL
3753,CALL
3754,CALL
3759,CALL
3760,CALL
3762,CALL
3763,CALL
3764,CALL
3765,CALL
3768,CALL
3770,CALL
3771,CALL
3773,CALL
3776,CALL
3777,CALL
3778,CALL
3779,CALL
3781,CALL
3783,CALL
3784,CALL
3785,CALL
3786,CALL
3788,CALL
3789,CALL
3791,CALL
3793,CALL
3794,CALL
3795,CALL
3799,CALL
3801,CALL
3805,CALL
3809,CALL
3811,CALL
3817,CALL
3832,CALL
abc301_a,STDIO
abc301_b,STDIO
abc301_c,STDIO
abc301_d,STDIO
abc301_e,STDIO
abc301_f,STDIO
abc302_a,STDIO
abc302_b,STDIO
abc302_c,STDIO
abc302_d,STDIO
abc302_e,STDIO
abc302_f,STDIO
abc303_a,STDIO
abc303_b,STDIO
abc303_c,STDIO
abc303_d,STDIO
abc303_e,STDIO
abc304_a,STDIO
abc304_b,STDIO
abc304_c,STDIO
abc304_d,STDIO
abc304_e,STDIO
abc305_a,STDIO
abc305_b,STDIO
abc305_c,STDIO
abc305_d,STDIO
abc305_e,STDIO
abc306_a,STDIO
abc306_b,STDIO
abc306_c,STDIO
abc306_d,STDIO
abc306_e,STDIO
abc307_a,STDIO
abc307_b,STDIO
abc307_c,STDIO
abc307_d,STDIO
abc307_e,STDIO
abc308_a,STDIO
abc308_b,STDIO
abc308_c,STDIO
abc308_d,STDIO
abc308_e,STDIO
abc308_f,STDIO
abc309_a,STDIO
abc309_b,STDIO
abc309_c,STDIO
abc309_d,STDIO
abc309_e,STDIO
abc310_a,STDIO
abc310_b,STDIO
abc310_c,STDIO
abc310_d,STDIO
abc310_e,STDIO
abc310_f,STDIO
abc311_a,STDIO
abc311_b,STDIO
abc311_c,STDIO
abc311_d,STDIO
abc311_e,STDIO
abc312_a,STDIO
abc312_b,STDIO
abc312_c,STDIO
abc312_d,STDIO
abc312_e,STDIO
abc312_f,STDIO
abc313_a,STDIO
abc313_b,STDIO
abc313_c,STDIO
abc314_a,STDIO
abc314_b,STDIO
abc314_c,STDIO
abc314_d,STDIO
abc314_e,STDIO
abc314_f,STDIO
abc315_a,STDIO
abc315_b,STDIO
abc315_c,STDIO
abc315_d,STDIO
abc315_e,STDIO
abc315_f,STDIO
abc318_a,STDIO
abc318_b,STDIO
abc318_c,STDIO
abc318_d,STDIO
abc318_e,STDIO
abc319_b,STDIO
abc319_c,STDIO
abc319_d,STDIO
abc319_e,STDIO
abc320_a,STDIO
abc320_b,STDIO
abc320_c,STDIO
abc320_d,STDIO
abc320_e,STDIO
abc321_a,STDIO
abc321_b,STDIO
abc321_c,STDIO
abc321_d,STDIO
abc321_e,STDIO
abc322_a,STDIO
abc322_b,STDIO
abc322_c,STDIO
abc322_d,STDIO
abc322_e,STDIO
abc323_a,STDIO
abc323_b,STDIO
abc323_c,STDIO
abc323_d,STDIO
abc323_e,STDIO
abc324_a,STDIO
abc324_b,STDIO
abc324_c,STDIO
abc324_d,STDIO
abc324_e,STDIO
abc324_f,STDIO
abc325_a,STDIO
abc325_b,STDIO
abc325_c,STDIO
abc325_d,STDIO
abc325_e,STDIO
abc325_f,STDIO
abc326_a,STDIO
abc326_b,STDIO
abc326_c,STDIO
abc326_d,STDIO
abc326_e,STDIO
abc327_a,STDIO
abc327_b,STDIO
abc327_c,STDIO
abc327_d,STDIO
abc327_e,STDIO
abc328_a,STDIO
abc328_b,STDIO
abc328_c,STDIO
abc328_d,STDIO
abc328_e,STDIO
abc329_a,STDIO
abc329_b,STDIO
abc329_c,STDIO
abc329_d,STDIO
abc329_e,STDIO
abc329_f,STDIO
abc330_a,STDIO
abc330_b,STDIO
abc330_c,STDIO
abc330_d,STDIO
abc330_e,STDIO
abc331_a,STDIO
abc331_b,STDIO
abc331_c,STDIO
abc331_d,STDIO
abc331_e,STDIO
abc332_a,STDIO
abc332_b,STDIO
abc332_c,STDIO
abc332_d,STDIO
abc333_a,STDIO
abc333_b,STDIO
abc333_c,STDIO
abc333_d,STDIO
abc333_e,STDIO
abc334_a,STDIO
abc334_b,STDIO
abc334_c,STDIO
abc334_d,STDIO
abc334_e,STDIO
abc335_a,STDIO
abc335_b,STDIO
abc335_c,STDIO
abc335_d,STDIO
abc336_a,STDIO
abc336_b,STDIO
abc336_c,STDIO
abc336_d,STDIO
abc337_a,STDIO
abc337_b,STDIO
abc337_c,STDIO
abc337_d,STDIO
abc337_e,STDIO
abc338_a,STDIO
abc338_b,STDIO
abc338_c,STDIO
abc338_d,STDIO
abc338_e,STDIO
abc338_f,STDIO
abc339_a,STDIO
abc339_b,STDIO
abc339_c,STDIO
abc339_d,STDIO
abc340_a,STDIO
abc340_b,STDIO
abc340_c,STDIO
abc340_d,STDIO
abc340_e,STDIO
abc341_a,STDIO
abc341_b,STDIO
abc341_c,STDIO
abc341_d,STDIO
abc341_e,STDIO
abc341_f,STDIO
abc342_a,STDIO
abc342_b,STDIO
abc342_c,STDIO
abc342_d,STDIO
abc342_e,STDIO
abc343_a,STDIO
abc343_b,STDIO
abc343_c,STDIO
abc343_d,STDIO
abc343_e,STDIO
